id,context,question,answer_label_idx,label_A,label_B,label_C,label_D
9-923,coal is a nonrenewable resource,coal is a resource that,0,constructs with difficulty,makes everything sanitary,shines in light,cools the air
7-714,an animal can survive in an environment with little food by storing fat,After the wolf ate all the rabbits he survived on:,2,water,plants.,fat,luck
7-890,some birds live in forests,"A bird makes its home in various places, such as",0,groves of plants,waterways,city streets,public parks
1081,a Punnett square is used to identify the percent chance of a trait being passed down from a parent to its offspring,To identify the percent chance of a trait being passed down we need at least,3,one box,two boxes,three boxes,four boxes
7-673,if something contains a large amount of magnetic material then that something will attract magnets,A pile of iron will,0,tug devices for locating directions,give false locations to planes,be a huge distraction,cause ships to crash
7-45,"as the surface area of a body of water increases , evaporation of that body of water will increase",The water in the bowl was gone before the water,1,on the tray,in the mug,on the plate,on the table
7-115,shedding is when an animal loses hair,A side effect of having a Husky as a pet is that when she sheds,2,the dog enjoys being washed out,washing all the fur is easy,it takes hours to vacuum all of the fur,the fur is still attached to the skin
9-1137,feeling is when an living thing senses through touch,An example of feeling,1,Water sitting in front of me,My pants against my skin,Plants in the sun,The TV turned on
7-1083,some hares live in fields,Some fields house incredible creatures such as,0,large rabbits,lions,wolves,mackerel
9-1128,hydropower requires damming a river,Which of these items must be combined with a river to produce power?,3,chocolat,ice,snow,concrete
8-447,a doorbell converts electrical energy into sound,You can let someone know you are at the door thanks to a,3,lemonade,cars,grass.,power plant
7-752,some animals move quickly to escape predators,When being pursued by a lion,3,a ram will leap,a mouse will hide,a cheetah will fight,a giraffe will dash
7-835,an oven is a source of heat,The ability that an oven has to turn ingredients into a moist cake come from its,0,higher temps,arid environment,dark heat,spaciousness
1413,a bicycle contains screws,Why would happen if the screw was loose on a bicycle's tire?,2,it would need to be repaired,you could tape it,it might fall off,it might get flat
1123,carpet absorbs sound,Why was my son-in-law required to add rugs or carpeting to his upstairs apartment when the ground floor wasn't?,2,So it would look good then prospective renters took a tour,Because they didn't want him to scratch up the wood floors.,Because they didn't want the downstairs renters to be as likely to complain about noise,Because they didn't want to pay for carpeting themselves.
9-412,the mantle is a layer of the Earth,the mantle is,0,a level of our planet,the planet closest to ours,a kind of rock found on Earth,the deepest part of our planet
8-217,transpiration usually happens in the leaves of a plant,Transpiration involves,0,H2O traveling about a daffodil's system,pollen traveling about the plant's system,the production of new oxygen molecules,the production of new seedlings
8-335,refraction is when light bends,A microscope can be placed against the sun and,0,burn an ant in the light's path,Provide shade on a hot day,Take a close up picture of the ground,Show how many wrinkles I have on my skin
9-617,the coloration of fur is an inherited characteristic,one inherited characteristic of fur is it's,1,value,hue,weight,length
9-1193,adaptation is when an organism develops a trait over time for survival,An example of adaption is,1,Eating tacos,wearing sunblock,Reading a book,Drinking water
7-513,burning a living thing usually causes harm to that living thing,"If a snail is heated to the point of being burned, the snail will",0,be discomforted,be energized,be hungry,be sad
7-1126,"as available water in an environment decreases , the amount of available food in that environment will decrease","In a bog, when water levels become low,",1,bog animals may be thirsty,bog animals may search longer for nutrients,the bog produces more water,bog predators need more prey
501,smoking causes direct damage to the lungs,"What contributes more, though less than some believe, to the lung damage caused by smoking?",2,smoking less,switching to chewing,no filters,switching to e-cigs
9-255,contact between rocks over long periods of time causes rocks to smooth,The below surface pebbles of the Snake River are of non rough edges because of?,2,smoothness,fish movement,river movement,rough rocks
7-117,producer is a kind of role in the food chain process,"There are producers that exist in the food chain, and they basically",1,are mainly creatures like deer,require photosynthesis to survive,produce a thing called chlorophyll,make good money at work
7-26,pollution is a source of pollutants,Pollution is caused by,3,reusing cloth baby diapers,recycling plastic water bottles,using all natural household cleaners,prescription medicine being put down sink drains
8-8,an electric car contains an electric motor,I have to plug in a processor of food because it,2,Is used for grinding metal,is an oil machine,is an electric Motor,is a battery operated machine
7-947,"as the size of the eyes of an animal increases , the ability of that animal to see will usually increase","The size of eyes matter relevant to sight and sight ability, given that",0,elephants see better than ants,wolves see better than giraffe,people see better than dogs,dogs see better than cats
